record_id,arc_length,tortuosity,centroid_x,centroid_y,pc1_score,predicted_order_rank
FF2O3V-042,292.0022429725687,1.1744793849517805,538.0880791913836,176.8060222878972,-1044.5771546827045,1
FF2O3V-034,272.9238080236899,1.1682815931329165,596.0961105845157,200.07742349954958,-532.8464508084714,2
FF2O3V-054,304.23510682013415,1.2133710859792068,608.0683667315265,194.03268582564652,-458.1139555400125,3
FF2O3V-001,219.55783728460256,1.0703359421902643,596.4490107372083,220.50410657365447,-448.14104001020655,4
FF2O3V-025,301.02808915821095,1.2198223677444102,613.3054418877415,198.4240898504392,-405.48735096588956,5
FF2O3V-046,200.8064947098513,1.0677081339140766,608.1860459992057,223.27477409377963,-362.79666592969556,6
FF2O3V-019,295.0876444005509,1.0428199512181695,620.0453521687682,192.7832918369113,-329.10195384605487,7
FF2O3V-028,155.48686543182734,1.0044589122727565,601.4101618828621,267.59173884668553,-323.3851308940238,8
FF2O3V-057,166.6193315890616,1.0060702746430086,610.6692982328555,254.06646811604332,-281.9663396141682,9
FF2O3V-030,214.35227809708664,1.0202047538822494,618.9682239797861,238.77348196065907,-228.66762269743526,10
FF2O3V-040,218.5977256990619,1.0278760506392621,619.2041093969137,240.11568169327748,-223.69192208518007,11
FF2O3V-043,208.63523228234655,1.0227155831283847,622.9123652319042,237.38500810945922,-214.28092547850594,12
FF2O3V-005,222.35494319133966,1.0214905799338452,621.5770897492916,238.82701226389668,-209.94431222705109,13
FF2O3V-027,212.99023894965848,1.0442172230633715,629.0948679846514,237.33094307483532,-179.5316250497507,14
FF2O3V-039,302.87482170958833,1.0617697457920663,649.3012472035084,202.06081098987826,-80.06108207720374,15
FF2O3V-041,308.2709379726641,1.126499017325425,650.9723842710042,212.00527105673868,-63.36208601698589,16
FF2O3V-008,297.9387325782631,1.10781434085965,651.4626958193762,211.40088027174352,-46.6870221550815,17
FF2O3V-004,316.7866475383745,1.11478788674259,654.4758511228764,211.99952253160006,-18.42421458531824,18
FF2O3V-050,301.3036048142527,1.1482211670927867,661.0274970905562,207.7672720013525,-14.461290379068839,19
FF2O3V-033,291.30163226343643,1.06607206808163,657.6792260315879,213.6564771626368,-9.318759410551833,20
FF2O3V-035,191.63210202924577,1.0034848074965967,645.1236268133486,268.0281690534946,-4.410948500436789,21
FF2O3V-020,304.70917890257033,1.1099485446937065,660.8358615549223,209.69019663866015,5.351216481166557,22
FF2O3V-022,298.98156173324503,1.0927156598210996,660.373642715938,210.82022163828194,8.691445067138938,23
FF2O3V-051,309.1081814564017,1.106251336339002,659.9845837461985,211.11073140751,9.95745395908281,24
FF2O3V-037,306.9164416601458,1.1316588668865448,663.039572586698,215.8153076535553,23.966958521029476,25
FF2O3V-047,301.71952532597953,1.08103279262303,663.9693056923015,209.59594539281755,28.82419019391679,26
FF2O3V-055,308.11481335354307,1.1065009231044065,660.7404938238483,216.87544535602333,34.06758520227729,27
FF2O3V-011,320.79543686766374,1.0648536176767653,660.8639283371164,220.6290138556947,54.65150360785123,28
FF2O3V-048,305.7708107012457,1.1010745837182012,667.5328079608163,214.2225781665252,60.68545129633204,29
FF2O3V-015,303.24989051043,1.1022933303998759,665.892499431509,217.76759045894133,61.479656967060436,30
FF2O3V-021,310.20458023817986,1.1082658455184888,668.2313381926995,211.43194691357968,67.39761721522699,31
FF2O3V-036,307.64842356526924,1.0477939138315198,667.5382345803158,210.2563394658946,71.27536520355781,32
FF2O3V-056,315.7044689964398,1.1010085027438967,666.4164694275998,216.83726235420653,75.10624697780258,33
FF2O3V-014,311.2442422614381,1.107799124571002,671.0011032391344,217.64598568149094,93.78366560055096,34
FF2O3V-017,310.899118225901,1.0681043936502368,669.6680695073334,213.2427730523367,98.75872391190411,35
FF2O3V-029,250.62300422613643,1.0225295067968279,663.0285449145382,246.9669111270141,100.38502351520093,36
FF2O3V-045,302.23394243504754,1.0423843405757598,668.8512645689042,216.62520544078302,101.70608020528542,37
FF2O3V-002,308.91397219549015,1.0906686737707816,673.1198586176956,212.71948738585826,105.6892927673146,38
FF2O3V-032,217.10494668933268,1.2103955381736236,664.5765409288972,272.86521425361076,111.46185620753403,39
FF2O3V-007,313.8751288953103,1.1101429536762928,673.9987334499663,219.50155756959543,130.9417970906971,40
FF2O3V-013,315.40626472745777,1.1220195614591018,677.2042291980775,219.5639277545676,146.02348098445214,41
FF2O3V-016,312.0221665404014,1.100449843649394,678.6696709453425,217.0001752350716,150.37423300207814,42
FF2O3V-018,304.5968168495715,1.0742234663732266,675.3337900853252,225.81875780820465,158.00721425446434,43
FF2O3V-049,311.1658622418068,1.0083024016696556,679.8240829270246,212.0888917940676,175.36208310526462,44
FF2O3V-024,310.1564701273421,1.0385840121121166,685.1435587617052,227.13938125980502,235.72275049277133,45
FF2O3V-009,333.12027694742903,1.0582595129926642,684.2116291398006,229.67461318928136,250.5442219642617,46
FF2O3V-031,325.24611980866933,1.0556545434704505,688.0707571856766,225.93517899006937,260.2202165647499,47
FF2O3V-044,332.02606942357073,1.13547199807145,694.1614689834423,234.6053508866153,311.58037889561285,48
FF2O3V-052,328.84230507060096,1.1329290920643058,697.0232209428011,233.8112789941195,324.93008300438095,49
FF2O3V-003,273.50783340296954,1.0270046105186847,690.1820260768029,263.55426715793067,332.9032123042313,50
FF2O3V-038,333.4647210075114,1.1373532571987122,697.7177439763171,233.8094476124609,336.2260418845032,51
FF2O3V-023,333.8304000115603,1.1496741019937857,700.4163609349106,237.12566660180627,354.26938281120744,52
FF2O3V-026,325.4715336905951,1.0164423849170627,698.3078961793119,233.5794618689559,359.5265734236688,53
FF2O3V-010,310.79120697437656,1.0140168664800944,698.9844237646219,242.81344713554364,382.7867402405555,54
FF2O3V-006,349.5895509279725,1.0323194922876904,710.5684670480525,232.58738917862388,456.6001100306563,55
